Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,29 Sept 2023,5,Moumita Das,Quality awesome product 
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,14 June 2023,5,Maya Nayal,Perfectly fit to my 4.5 yrs  daughter?
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,27 June 2023,5,Rashmi Madaan,"Cool looks, nice fabric, crop top
"
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,11 July 2023,3,Suchandra Basu,"Fabric is good but that butterfly print is not at all good , after 1wash it's got damaged "
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,19 Aug 2023,5,Tanishka Pareek,This top was good and but the colour was little green and after washing the colour was like neon .but the product I love it
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,22 July 2023,5,Monika Pal,Beautiful 
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,25 June 2023,5,Meghi,Mterial is too much good n same as it is look like in image.. thnk u myntra
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,17 July 2023,5,Shashikala,Very cute  top
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,9 Sept 2023,4,Rahul Kumar,
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,22 Sept 2023,5,Dr Kanak Kaul,"Perfect crop top for girls, nice fabric and colour, 
"
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,30 July 2023,5,Babita Malick,My daughter loves this ?❣️?
Buy AWW HUNNIE Girls Graphic Printed Cotton Crop Top  - Tops for Girls 23414932 | Myntra,4.2,₹349,27 Aug 2023,5,Swetha Abhilash,Beautiful. Nice quality 
