Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,9 Jan 2023,5,Swastika Gurung,"Thank you so much Myntra.. 🙏
I love the product very much❤❤I received a very beautiful kurta set and heel also... Size is perfect💯 and material also a great😊😍😘
I suggest you Go For It.... "
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,6 Oct 2023,5,Chimi Chiden,The fabric was so good . The colour is bit lighter than expected . The actual colour is burgundy but it’s really beautiful. The fit was dot nice.
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,24 Nov 2022,5,Nikki Kumari,Very nice purchase
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,6 Apr 2023,5,Ankita Yadav,"Thank you Myntra I love this dress
Very nice dress ? thankyou ♥️"
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,6 Oct 2022,5,Ritika Goswami,It's pure purple and doest have the plum or reddish tinge in normal lifht unlike the picture but still it's very nice. Fabric quiality is good and looks awesome.
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,6 Sept 2023,5,Madhubala,Looks really gorgeous. The colour was dam good. It looks so elegant and beautiful I just observed.
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,13 Dec 2022,5,Harshitha J,"Beautiful kurta set. The material is nice and thick
 The pants are a bit too wide and the colour is more on the purple side but if paired with the right jewellery, it looks amazing overall 💜"
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,16 Mar 2023,5,Kajal Kumari," The cloth was good👌, when I saw it earlier, I did not like it, but when I wearing it, I felt comfortable In the end photo, I was looking so much woww..❤, I tell you yes, but the bottom trouser seemed too widely to me,  but it was looking good🤗."
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,15 June 2023,5,Punam,"thank you so much, the fitting is perfect. i got an XXL (my waist is 38 and hips 48). i was worried about the fitting but it's perfect, the colour is as shown in photo and the fabric quality feels really good too. it's comfortable to wear. the dupatta is a bit too long for me (i am around 5'1 or 5'2 i.e., around 155cm) but all over love it. AND THE PANT HAS A POCKET !!!! thank you once again :)"
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,8 Aug 2022,5,Debjani,"Just in love with this dress. So beautiful, quality is awesome. But one suggestion the plazzo should be made abit more tight. Overall very very beautiful "
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,21 Mar 2023,5,Neenu Joseph,"Beautiful dress in this price range and looks so pretty and comfortable
Must buy
Go for it"
Buy Indo Era Women Purple Yoke Design Kurta With Palazzos & With Dupatta  - Kurta Sets for Women 16712782 | Myntra,4.3,₹599,25 Sept 2022,5,Anjali Malhotra,I am very happy kurta with palazzos 
